PARAMETER,ESTIMATE,PARM TYPE,EST TYPE,INITIAL VALUE,MIN,MAX,SCALE,DESCRIPTION,PARAMETER UNITS
FacWW_P,0.89057,SOURCE,Estimated,3,0,10000,1,Municipal/industrial point source ,fraction,dimensionless
FacPmine,0.03304,SOURCE,Estimated,1,0,10000,1,FacPmine,
ManureP_Seas,0.0092,SOURCE,Estimated,1,0,10000,1,Livestock manure N,
FertP_Seas,0.08772,SOURCE,Estimated,0.1,0,10000,1,Fertilizer N use,
Pmines_v17,0.02512,SOURCE,Estimated,0.05,0,10000,1,Pmines_v17,
GeolP,0.00092,SOURCE,Estimated,0.05,0,10000,1,GeolP,
urban_Seas,10.90862,SOURCE,Estimated,40,0,10000,1,Urban lands,kg/km2/year
logAirTemp,-1.32926,DELIVF,Estimated,-1,-10000,10000,1,logAirTemp,
logPPT,1.48371,DELIVF,Estimated,1,-10000,10000,1,logppt,
PrevSurfSoMoi,0.55986,DELIVF,Estimated,0.4,-10000,10000,1,PrevSurfSoMoi,
PrevET,-0.30636,DELIVF,Estimated,-0.3,-10000,10000,1,PrevET,
PrevEVIMean,4.31411,DELIVF,Estimated,4,-10000,10000,1,PrevEVIMean,
lkfactup,2.4292,DELIVF,Estimated,2,-10000,10000,1,lkfactup,
rchtot,0.47518,STRM,Estimated,0.8,0,10000,1,contrchdecay_RRLite,
